text,study_label,score,source
Police: Trucker killed 3 prostitutes across South: Authorities say a long-haul trucker is responsible for ... http://url_removed,negative,-2.05,tweets
Westminster man dies in crash: A Westminster man is dead after being involved in a car crash Saturday afternoon. http://url_removed,negative,-1.5,tweets
New York Yankees become first team in major league history to hit three grand slams in a game #fb,positive,1.4,tweets
@anonymous you're welcome :) Have a great weekend x,positive,2.15,tweets
@anonymous that's fine. Just make sure to watch GATES sometime today. Lol,positive,1.2,tweets
@anonymous greatest screen name EVER. LOL,positive,2.85,tweets
FTW  http://url_removed,positive,0.4,tweets
First vacation in like ages! #PJ20,positive,1.9,tweets
@anonymous maybe you're signed in? There's not many ways I can touch the screen. Lol,positive,0.8,tweets
@anonymous interesting scenes involving poo.,positive,0.2,tweets
Would Jesus come to earth naked or do they have a clothing shop in heaven? Would any1 be offended by a Holy Wang sighting? MPAA?,positive,0.1,tweets
@anonymous Im down! i think i might go up on tuesday. i went up two days ago and it was pretty chill.,positive,1.4,tweets
My legs haven't been this sore in a long time... Can't even skate to class... :(,negative,-1.75,tweets
@anonymous i'm pretty sure she'll appreciate it,positive,0.95,tweets
NO. PHYS ED OUTFITS. NO. #community,negative,-2.0,tweets
@anonymous I was gonna let it grow a bit anyway lol,positive,0.85,tweets
"@anonymous :U i would rebuttal your tweet with some froyo-shop chalkboard drawings but it might be in bad taste, doing what you can't.",negative,-1.3,tweets
At least if they did have a copy it's the same price as Amazon.,positive,0.45,tweets
WHAT's FOR LUNCH??? TODAY's SPECIAL : A Rosy Rice Ring surrounded by Plump Juicy Sausages &amp; delicately festooned... http://url_removed,positive,0.55,tweets
Hello. my doodle bugs! Don't forget about the Kitsch Caption Contest ... add your caption now ... Contest ENDS... http://url_removed,positive,0.7,tweets
"INDULGE ME, WON't YOU? ... I only post this every 6 months or so , but this is my ALL-TIME FAVE A-GO-GO post &amp; the... http://url_removed",positive,1.65,tweets
PIN-UP OF THE DAY! ..... ADORE!!! http://url_removed,positive,1.85,tweets
ONE MORE THING .... ... working on a pod-cast. Waddaya thank? http://url_removed,positive,0.25,tweets
manner police be warned!!! .... *cracks knuckles* ...,negative,-1.2,tweets
DISTURBING KITSCH OF THE DAY! .... *mumbles under breath* ... ass http://url_removed,negative,-1.9,tweets
WILL THE REAL PUXATONY PHIL PLEASE STAND UP! ... I'm a silly silly ninny ... sorry ... the previous fella was a... http://url_removed,positive,0.65,tweets
@anonymous Cool new song. Sounds good.,positive,2.0,tweets
In Defense Of Spice Girls http://url_removed - Can't say I disagree. They knew their audience and had catchy songs.,positive,0.95,tweets
"Just sent one press release off to a client for approval, working on another two this evening. Busy week of media relations ahead!",positive,0.55,tweets
@anonymous @anonymous Forget it. The place is too small for both of you.,negative,-1.35,tweets
Oh snap...Radio1 just dropped Girls Aloud's Love Machine. That is a ridiculously amazing pop song.,positive,2.7,tweets
Can't believe there's no merch table. Wanted to buy the CD :(,negative,-1.9,tweets
WTF - when did Logic Pro 9 come out?!?! http://url_removed,negative,-0.25,tweets
"What I love about watching a movie at home is the guitar is nearby and when inspiration strikes, I can just pick it up and start a song.",positive,1.75,tweets
"Somebody please sell me a used UA 6176. FrontEndAudio has them for $1749 new, shipped (after UA's rebate). Might just spring for that.",positive,0.3,tweets
Just finished a new track! The first 10 ladies and first 5 guys that message me NOW get the first full-track preview link! Get at me! :),positive,1.75,tweets
@anonymous your products look awesome!  Great web design too!,positive,2.7,tweets
@anonymous hope all is well with you!,positive,1.4,tweets
Dear @anonymous will you marry me?  :D,positive,2.45,tweets
"You bugged her room? ""I absolutely, without apology, will admit that someone may have allegedly done so."" I love House!!",positive,2.2,tweets
Filled with hope.,positive,1.85,tweets
"@anonymous double standard.  They're also bbws, have 'more to love' and are considered 'thick', 'healthy', and 'shapely.'",positive,0.2,tweets
@anonymous sure why not.,positive,0.55,tweets
I'm the best she ever had.,positive,2.4,tweets
"I just heard a woman say in broken english to a black actor ""you are going to looking like dark shadow on the tv!""",negative,-0.95,tweets
Bad chi everywhere.,negative,-1.6,tweets
"@anonymous Eureka! Your ""How To Find Artisan Beef"" primer is perfect! http://url_removed @anonymous @anonymous @anonymous",positive,2.15,tweets
"No childcare this week &amp; a nice big book launch kicking off tomorrow, plus additional pitching for @anonymous (great coverage so far!)",positive,1.6,tweets
@anonymous Are you going to Wisconsin for the holidays?,positive,0.05,tweets
@anonymous The cream cheese ice cream was fantastic! I want to try it again with some fruit puree in it.,positive,2.7,tweets
@anonymous I have loved ones fighting cancer too. Sending love &amp; hugs your way....,positive,1.2,tweets
"Food Justice Conference, the agenda: http://url_removed",positive,0.05,tweets
"@anonymous good point! What is the definition of ""cooking""? A la, ""I don't have time to cook."" @anonymous @anonymous @anonymous",positive,0.8,tweets
RT @anonymous Great TED talks for food lovers http://url_removed &lt;-- Stellar line up!,positive,2.1,tweets
"@anonymous Yes, Deborah was on a panel I moderated at the Commonwealth Club in SF yesterday. Love her book, ""Good Meat.""",positive,2.1,tweets
"@anonymous I was hoping you'd chime in on ""Ferran."" Thanks! Have you read ""Knives at Dawn?"" I really enjoyed that too.",positive,1.55,tweets
"@anonymous People say I have bad humour, but hey, at least I'm having fun. What's up with the #IHOW hashtag?",positive,0.5,tweets
Yay @anonymous :)  RT @anonymous Todays Blog of Note: Nouveau Cheap http://url_removed,positive,1.15,tweets
OMG. I was on my way to school and my brakes went completely out! That was scary.,negative,-2.1,tweets
The days are going by SO fast! Which is better so IMATS can be here! :D,positive,2.2,tweets
Interested in earning money by blogging about products &amp; services via SocialSpark? Sign up here! http://url_removed :),positive,0.8,tweets
@anonymous aw thank you! :D,positive,2.0,tweets
@anonymous ooo Do you think it would be good for dry skin? I was thinking about getting the small sample pack :),positive,1.1,tweets
"OMG, same feeling here too! RT @anonymous I feel like I accomplished so much and nothing all at the same time today...",positive,0.55,tweets
"@anonymous Good! Sadly I just woke up, so I'm barely getting my day started. Lol How is your day going? :D",positive,1.1,tweets
I want to win a FREE Brazilian Blowout from @anonymous @anonymous and @anonymous http://url_removed,positive,0.5,tweets
@anonymous oh okay thanks! :),positive,1.45,tweets
"Only 1 more follower and I will have 1,111 on 1/1/11 Wouldn't that be great?! :D",positive,1.85,tweets
"@anonymous LOL! Exactly! Just rain, but I would still like a package. Hahaha",positive,1.5,tweets
"@anonymous Words I like instead: fantastic, gorgeous, wonderful, lovely.",positive,2.1,tweets
"Still waiting for someone to write the definitive oral history of the Top Gun soundtrack, too.",negative,-0.05,tweets
"@anonymous Oh, baby! I can't wait until each @anonymous feature update is met with disdain and chagrin, but for now we celebrate!",positive,1.5,tweets
"@anonymous I'm debating joining a gym at the moment. It's never worked out well in the past, but I think I'm ready to commit now...!",positive,0.85,tweets
Feeling kind of shitty because for the next 11 months if it rains I won't feel a little better thinking about that G 'n R video.,negative,-2.0,tweets
Some nights I wish ice cream was more filling so it'd make a better dinner. Some nights I'm glad it's not so I can eat more after dinner.,positive,0.7,tweets
"My style is impetuous, my defense is impregnable. And I'm just ferocious.  http://url_removed",positive,1.2,tweets
@anonymous Michael McDonald is awesome.,positive,2.6,tweets
@anonymous I have  couple different kinds of vermouth. Does that help?,positive,0.25,tweets
One of the three best things about being outside is people walking slowly in the middle of the sidewalk.,positive,0.35,tweets
Finished my syllabus!!!!! Off to hang out with the hubby :-),positive,2.45,tweets
My bed feels so glorious right now. I LOVE it!,positive,3.05,tweets
@anonymous she was brilliant and wonderful!,positive,3.35,tweets
Muse is doing laundry... I love the smell of Downy early in the morning.,positive,1.7,tweets
Sho' can. Folks get it twisted! Lol RT @anonymous The #pisces woman can be a rude little lady when she wants to be .,negative,-0.75,tweets
RT @anonymous No one should go into debt to study creative writing. Its simply not worth it. This is not medical school.  A Patchett,negative,-1.5,tweets
RT @anonymous #Pisces can become irritated and impatient rather quickly .,negative,-1.2,tweets
"Whenever I have to decide between two evils, I always choose the one I haven't tried before. -Mae West",negative,-0.1,tweets
Hope you're having a wonderful day! @anonymous,positive,2.1,tweets
I just cut my followers list from 60 to 30 because of all of the spambots following me. Now I just feel inadequate.,negative,-1.65,tweets
Sometimes I wonder what my dog is thinking... does he really enjoy licking the glass door?,positive,0.5,tweets
@anonymous sweet syndication,positive,1.45,tweets
Dwele is def one of the best artists to date but doesn't get the recognition,positive,1.45,tweets
"@anonymous what I'm trying to figure out is why the hell u want her, when I'm here!?",negative,-1.4,tweets
@anonymous rotfl!! Big eye stare!,positive,1.85,tweets
"@anonymous I know it's been centuries! I good yo, how u been?",positive,1.2,tweets
"Doesn't Ron Artest look like he got funky breath? It would explain his ""good"" defence.GO LAKERS!",positive,0.1,tweets
"PLEASE GO OUT AND VOTE PEOPLE, HELP A DREAM COME TRUE http://url_removed",positive,1.5,tweets
Why is there always fires and crzy alarms in every apt I live in. Nigga needs a condo,negative,-1.95,tweets
Honor wears different coats to different eyes.  Barbara Tuchman,positive,0.35,tweets
Babershop flow. Well overdue,positive,0.6,tweets
@anonymous netter get yours before your left alone,negative,-0.85,tweets
i need some new followers.  and bitch ass @anonymous  reminds me of how i need some new joints.  i need to get social again,negative,-1.3,tweets
Lion King 3d wit the niece smh.  3d is pointless. And my niece wouldn't sit down.,negative,-2.0,tweets
@anonymous WOW! What a story cuz,positive,1.5,tweets
"Trying not to RT @anonymous entire TT #BecauseYoureChosen...but I can't help it, they are all so GOOD!!",positive,2.15,tweets
Happy Birthday @anonymous  Love you sis!,positive,2.6,tweets
Good luck this morning @anonymous actually found green shamrocks in my Fruit Loops this morning,positive,1.4,tweets
@anonymous Good AM! Well it is now afternoon!  So Good PM!  LOL,positive,2.25,tweets
@anonymous welcome Soror,positive,0.8,tweets
@anonymous lol I know... I'm parking now,positive,0.6,tweets
The Page holiday party! http://url_removed,positive,1.1,tweets
"@anonymous Yeah yeah, I knowww haha",positive,1.35,tweets
You will find this protest outside of 30 Rock hilarious if you play Mass Effect. http://url_removed,positive,1.1,tweets
@anonymous @anonymous LOL Broserrrrr hahahahaha Dubin is a Broser!!!!,positive,1.55,tweets
Oh word!? Silver Hand wants to go to war? ..Let's take em to war!,negative,-0.95,tweets
Congrats! RT @anonymous Just got off the phone with Lola Monroe. I'm officially on the Taylor Gang team. We start working top of the year,positive,1.8,tweets
!!! RT @anonymous 2011 gets the award for the fastest year ever.,positive,0.8,tweets
@anonymous OCD much? LOL,positive,1.25,tweets
@anonymous Fickell is not ready to be HC. He can be the DC.,negative,-0.4,tweets
@anonymous I'm coming from Atlanta hopefully good seats,positive,0.8,tweets
Just spent an hour and a half talking to my regional manager. I gained a greater respect for him and the way he manages.,positive,1.7,tweets
"Having a wonderful Sunday with my girl Tiff. We went to 730 service at my church Sweet Holy Spirit, then breakfast.",positive,2.35,tweets
@anonymous And I ALWAYS choose the wrong zipper!,negative,-1.3,tweets
@anonymous my pet peeve is not walking away when I KNOW a movie is so bad that I shouldn't finish it!,negative,-1.75,tweets
@anonymous they killing me,negative,-1.7,tweets
@anonymous andy what the crap happened?!!!,negative,-1.4,tweets
"@anonymous are you playing the drums naked in that picture?  man, that tour is more warped than i thought!",positive,0.55,tweets
life is smiley today!,positive,2.3,tweets
i want to nap with some intermittant reading...i suppose i'll do the dishes and vacuum instead :(,negative,-1.35,tweets
@anonymous get ready for some cool gifts for you and kim when you hit blackfoot in october!,positive,1.8,tweets
today sucks too.  no help.  josh not home till 9.  ugh.,negative,-2.35,tweets
"@anonymous PE one of my faves, good read",positive,2.0,tweets
@anonymous studying overtime! Like mines on the same wavelength across the border!!!!! Lol,positive,1.25,tweets
@anonymous the damn greed!  smh http://url_removed,negative,-1.8,tweets
@anonymous ooooo hard breathing and vodka...enjoy!!! Lol,positive,1.95,tweets
Tgif world!,positive,1.8,tweets
Just in case u wanted2know thermonuclear reactors burn @anonymous 4000C &amp; a house fire burns @anonymous 500C..can u imagine trying2cool the reactors in japan?,negative,-0.65,tweets
"@anonymous morning all star, just enjoying life man, how u been!!?",positive,1.3,tweets
@anonymous yoooo how goes it man! Hope to c u up top this sat. Who's coming w/u?  Down for radio?,positive,1.25,tweets
Good morning world!!!,positive,2.25,tweets
Common- Come Close missing.....  @anonymous Mary J. Blige's 10 Best Hip-Hop Collaborations | Complex http://url_removed,positive,0.2,tweets
If you only defend people you agree with from the abuse of power by the state then you have no right to call yourself an American. #OWS,negative,-1.5,tweets
@anonymous was one of the best resources on the uprising in #tahrir - I am hoping the twitterverse does not abandon him now that he is in prison.,positive,0.65,tweets
@anonymous The Guy Clarke version is da best!,positive,2.4,tweets
#fuckyouwashington To those who gave the racist birther nonsense any traction.,negative,-2.9,tweets
@anonymous Excellent ! .. Maybe mine will Monday.. I forgot the 1 part of your Twitter user name last couple of tweets. Did you see?,positive,2.0,tweets
"@anonymous Just to say hello, and am now following you as well.. Absolutely love your site! Nice to meet you..",positive,2.35,tweets
@anonymous welcome to my world haha,positive,1.35,tweets
@anonymous as they should be. Fine young man right there.,positive,1.3,tweets
Dan Gilbert is a trick for this. The teariest of the crybabies. I feel sorry for Cleveland having him as an owner http://url_removed,negative,-2.3,tweets
@anonymous u sent link lol thk u I'm going to Amarillo lol,positive,1.6,tweets
"I know most folks love Mobb Deep ""Shook Ones Part 2"", but how many have heard Part 1? I actually like that too.",positive,1.35,tweets
@anonymous just saw the full vid. It's funny and definitely couldve been a lot worse - I guess I tripped out at the clip of it,positive,0.8,tweets
@anonymous I agree completely. I think 6 is the worst sequel I've ever seen to a movie,negative,-1.9,tweets
Lmao this sportscenter commercial with Jason Heyward and the Stanford tree mascot is hilarious,positive,2.4,tweets
Good to hear RT @anonymous Breaking News: The #Pacers have picked up the 2012-13 team options on @anonymous @anonymous &amp; @anonymous,positive,0.95,tweets
"Jesus wept, they are the public. RT @anonymous Paxman: ""The public weren't rioting, were thet?"" #ReadingTheRiots",negative,-0.9,tweets
"The 2 Bears made a track to help launch a new Tourettes charity, built around the founder's vocal tics: http://url_removed",positive,0.4,tweets
@anonymous God has Wales really got that bad?,negative,-1.6,tweets
Youth unemployment creeping further above 20 per cent. http://url_removed,negative,-1.35,tweets
Christ almighty Stephen Nolan really is a cock.,negative,-2.75,tweets
Confused by the fact that it is now almost cheaper to eat out than to eat in. How did that happen.,negative,-0.85,tweets
"@anonymous But that's exactly it - there was no intimidation, disruption or obstruction, as the video shows - and as police confirmed at the",negative,-0.4,tweets
"@anonymous Hmmm I'd like to know what the hell they meant by ""Regular people""  lol Have a good day!",positive,0.7,tweets
"A salute to excellence: Spirit of Excellence Awards honorees demonstrate commitment to patients, community--http://url_removed",positive,1.45,tweets
Modern Healthcare: Three die after medical transport plane crash http://url_removed,negative,-1.9,tweets
Modern Healthcare: Feds OK cut in premium costs for Mich. program http://url_removed,positive,0.05,tweets
Modern Healthcare: HHS awards $71.3 million in nursing grants http://url_removed,positive,0.45,tweets
Modern Healthcare: Lawmakers seek review process for Medicare cuts http://url_removed,negative,-0.2,tweets
Modern Healthcare: Reports criticize Indian Health Services http://url_removed,negative,-1.2,tweets
Modern Healthcare: ONC awards nearly $1 million to Institute of Medicine to study health IT use http://url_removed,positive,0.3,tweets
Top Health Systems: Who Made The List?,positive,0.05,tweets
CEO IT Award Winner Profiles Just Released!,positive,1.2,tweets
@anonymous You jetsetter! Enjoy :),positive,1.7,tweets
"Hotel California- My life lmao you can check out anytime you want, but you can never leave lmao",positive,0.7,tweets
@anonymous Have a good time fishing. Football here! Have a good day!,positive,2.1,tweets
I liked a YouTube video -- Kitten afraid of remote control mouse http://url_removed,positive,1.15,tweets
I favorited a YouTube video -- We Are The World 25 For Haiti (YouTube Edition) http://url_removed,positive,1.3,tweets
This France vs. #USMNT Friendly match sponsored by Nike... (i.e. kits and ball.),positive,0.25,tweets
"not sure how I missed ""Secret of Mana"" during SNES days but glad it's on iPhone.. it feels like playing Final Fantasy 12 w/ 16-bit graphics",positive,0.95,tweets
#sandusky can suffer in hell for all I care! TERRIBLE thing to say? NO! HIS actions are a terrible thing!,negative,-3.05,tweets
Drunk Guy Trips At A #Mets Game [VIDEO] - BuzzFeed http://url_removed,negative,-0.3,tweets
@anonymous @anonymous thank you! :) x,positive,2.1,tweets
@anonymous I think you are a potentially good singer. Have you studied enough for language acquisition? :/,positive,0.4,tweets
@anonymous A whole tape. I think its quite long. Its more annoying when I have to Play &gt; Stop &gt; Rewind &gt; Repeat.,negative,-1.5,tweets
Sugarbun is being all too kind tonight. http://url_removed,positive,1.25,tweets
"@anonymous I heard its ice cream. Well, that's what my momma said.",positive,0.25,tweets
"@anonymous I'm fine but rather tired. Playing with three different computers in school. I like, no, love tech and especially computers. :D",positive,1.7,tweets
9 more days. And that's okay.,positive,0.8,tweets
Its human nature to fear what we don't understand.,negative,-0.3,tweets
@anonymous @anonymous not in Brunei. I told @anonymous sudah yesterday. :p,positive,0.15,tweets
"Clever knitting folk: when asked to SKPO, should I work the slip stitch purlwise?",positive,0.2,tweets
@anonymous She did indeed! I've been gardening all afternoon - sadly our front garden is in shade so my timing was pretty poor too!,negative,-0.5,tweets
"RT @anonymous Thanks to ALL of you for keeping me NUMBER 1, Hell yea! WOOOOOOHOOOOO!!!!! GOOD deal Bubba! ;D",positive,3.35,tweets
"@anonymous When I told Matt I'd lost my make-up bag (which was on the sofa?!), he said ""You don't need make-up anyway, silly"" - LOVE him!",positive,2.4,tweets
@anonymous I would LOVE a snuggie right now!,positive,1.7,tweets
it's not even 11:30 and i'm STARVING. what's wrong with me?!,negative,-1.95,tweets
"@anonymous haha, i'm totally rockin' out to Taylor on Pandora...gotta love her!",positive,2.3,tweets
@anonymous @anonymous LOL I'm sure! End of day came too soon and wasn't as planned is all ;) love yas!,positive,2.1,tweets
@anonymous me too. Hahaha. Makes us all feel normal I guess :),positive,1.5,tweets
2day's conversation is w/ @anonymous &amp; @anonymous &amp; talkin about the movie The Candy Shop &amp;keeping kids safe! Join us Live,positive,0.45,tweets
Sydney to Calgary didn't seem long at all. Love how my kids travel so well.,positive,1.55,tweets
@anonymous Fab. We must do champagne to make up for my hair falling out. Xxx,positive,0.35,tweets
"@anonymous In that case you are awesome, and it's fucking with the wrong girls. Sleep tight, build your strength. Loves xxx",positive,1.6,tweets
@anonymous I needed to get O to sleep so just did Denford and back. Will need to see how I am but hoping so :) xx,positive,1.1,tweets
@anonymous - 2 weeks until Gardenbury! I am hoping for the sunniest bank holiday EVER - we are properly camping on the Saturday...,positive,1.45,tweets
@anonymous Ps. My boys will be here so if yours need to come they're more than welcome :o),positive,1.6,tweets
Here is the cockney the lovely @anonymous taught my son at the weekend. Sigh!  http://url_removed,positive,0.25,tweets
"@anonymous There is an option in Reading but it has no effect. I only really want them for the meta tags, they look somewhat ugly in the post",negative,-0.85,tweets
@anonymous o.O since when do you have a blog?,negative,-0.05,tweets
Any good films out currently in the cinema?,positive,0.1,tweets
"@anonymous yes they are well, cunt fuckers on that stuff :P I remember I lost about 10 marks for forgetting a few full stops.",negative,-2.15,tweets
@anonymous too much free time? =p,positive,0.5,tweets
Battled for hours if not days on css crapola. No idea why browser not picking up css writing at the end. Only if I put it at top of style,negative,-1.45,tweets
@anonymous I love Jerry's deli.  I always get the same: corned beef on rye and matzoh ball soup.,positive,2.4,tweets
@anonymous are they planning to rebuild the Jack in the Box on Decatur &amp; Washington?  Just curious cuz it was my first job in late 80s,positive,0.15,tweets
"@anonymous Haha, so am I. I don't care what people say. I read all kinds of news. Tech is my favourite. :)",positive,1.75,tweets
"Watching ""The Education of Charlie Banks"". Good movie",positive,1.55,tweets
@anonymous I dunno the TiVo just records it lol,positive,1.2,tweets
@anonymous roflmao you need a pic of that!,positive,2.55,tweets
@anonymous Julia/Julia was really good you will like it I promise,positive,2.1,tweets
@anonymous but I like kimmel and ferguson more! Lol,positive,1.85,tweets
@anonymous I might just have to agree with that,positive,0.8,tweets
"dear @anonymous , now kids will think it's ok to eat cookies for lunch. way to ruin a generation.  i am outraged i say!!!!!",negative,-2.1,tweets
hindsight being 20/20 and all that... probably a bad idea to build on the ancient indian burial ground,negative,-1.4,tweets
@anonymous since you dig the first one i'll definitely have to pick it up too.,positive,1.5,tweets
"@anonymous definitely ""hanes tagless team derek"". i only wear shirts of people that have no more hair on their head than i do",positive,0.05,tweets
posted wrong link. this one has the whole statement... http://url_removed,negative,-0.15,tweets
SDSU wins child obesity grant http://url_removed #sdut,positive,0.55,tweets
Free dental exams for children http://url_removed #sdut,positive,0.8,tweets
@anonymous Cool. And that means?,positive,0.55,tweets
School board weighs Ariz. travel warning http://url_removed #sdut,negative,-0.55,tweets
Grand opening held at new High Tech High charter school campus http://url_removed,positive,0.25,tweets
The release Date for #PhazedOut is 2.14.2012 - Happy Valentines Day twitches...shouts to @anonymous &amp; @anonymous,positive,1.0,tweets
@anonymous Or how to do it in a really clever way,positive,0.4,tweets
"RT @anonymous feat. Nutso &amp; @anonymous - ""Nu World"" [Part II] FREE DOWNLOAD: http://url_removed #NuWorldRemixEP 11.15.11",positive,0.45,tweets
I like my comments to be informative: http://url_removed,positive,0.75,tweets
Nice easy day of doing nothing but experimenting with a few new paint techniques,positive,1.5,tweets
@anonymous Yeah man I'm really interested in this area as well. For my team that's the area I've chosen to do,positive,0.6,tweets
@anonymous and the other 10% ? lol,positive,0.7,tweets
Buffalo Tom's Skins will do a lot for their faithful fans http://url_removed @anonymous,positive,1.55,tweets
Thanks to @anonymous for the #FF! Back atcha! :),positive,1.75,tweets
@anonymous @anonymous My city-sized underground bunker is way better.,positive,1.35,tweets
Did you know there was a Neverending Story 3? Did you know it is the worst thing ever made by anyone ever? WHAT DID YOU DO TO FALCOR!?,negative,-2.9,tweets
@anonymous I may have inadvertently separated 1 from its mother in an attempt to capture it. Then it hid in a bush and we lost it.,negative,-1.0,tweets
"The individual must struggle to keep from being overwhelmed by the tribe. If you try it you will be lonely often, and sometimes frightened",negative,-1.25,tweets
"Happy Earth day everyone, did you know @anonymous was the Earth guy in Captain Planet? And Whoopi Goldberg was Gaia?",positive,1.45,tweets
"British Hockey Commentary: ""The winning goal! The gold-winning goal for Canadia! Canadia has won the gold!""",positive,2.85,tweets
Hopefully going horseback riding this weekend.,positive,0.95,tweets
"it's good to work it over in your head).  And now that we're only a couple hours out, yeah, I'm feeling it now.  And it feels fucking great.",positive,2.6,tweets
@anonymous you're making me cry.,negative,-1.95,tweets
Guild Wars 2: Concept Art and Video http://url_removed Great concept art for the upcoming GW2. Always loved their style for concept art.,positive,1.65,tweets
@anonymous but i do think in this case that they have every right to make this choice. and gamers have the choice to not support it.,negative,-0.45,tweets
TRUTH! RT @anonymous Your customers will share their experiences and they will influence the decisions of others http://url_removed,positive,0.9,tweets
"Imagine you can touch it, feel it, taste it &amp; its beautiful. Would you have patience if you werent moving at the speed of light 2 get there?",positive,1.1,tweets
Execute like lightning not like wind,positive,0.2,tweets
"On Dec. 19, around noon, New York City's Union Square Business Improvement District plans the First Santa Claus Ulympics (that's yule-lympics), in which about 50 contestants, in red suits and beards, will compete.",positive,0.4,nyt
"Events include sprinting, broad jumping, yule log rolling, wreath tossing and a toy sack relay.",positive,0.15,nyt
It's mainly a holiday celebration - toys from the sacks will be distributed to homeless kids.,positive,1.5,nyt
But the games also convey another message.,negative,-0.05,nyt
"According to Clement C. Moore, author of ''A Visit from St. Nicholas,'' Santa Claus was no picture of health.",negative,-1.15,nyt
"''The stump of a pipe he held tight in his teeth'' (periodontal risk); ''And the smoke it encircled his head like a wreath'' (heart disease, lung cancer); ''He had a broad face, and a round little belly / That shook, when he laughed, like a bowl full of jelly'' (overweight, poor aerobic fitness, weak muscle tone).",negative,-1.6,nyt
It's hard to imagine such a person acting ''lively and quick.'',negative,-1.0,nyt
American youth needs the Union Square Santas' better example.,positive,0.05,nyt
Government budget time means budget language time.,negative,-0.35,nyt
"Some budget terms are technical necessities, like the distinction between actual outlays and budget authority.",positive,0.05,nyt
Others are gems of political euphemism.,positive,0.95,nyt
"The recent prize-winner, which may be the work of an unknown New York state budget writer a few years ago, is revenue enhancement, meaning tax increase.",negative,-0.2,nyt
No one has devised a euphemism of equal elegance for the other side of the ledger - until now.,positive,1.0,nyt
"The new Reagan budget is skimpy on detail and limp on initiatives, but page 2-13 offers a new pearl of circumlocution.",negative,-0.75,nyt
"The Administration, it says, calls for no cuts in benefit levels for several programs.",positive,0.35,nyt
"For some others, however, the Administration proposes carefully targeted reforms.",positive,0.1,nyt
"Perfect: a description for spending cuts, even harsh ones, that sounds innocent, progressive, humane.",positive,1.2,nyt
"Is there, somewhere, a government budget in which carefully targeted reforms involve spending more money instead of less?",negative,-0.45,nyt
"Sure, the same budget in which revenue enhancement means making a tax law more efficient, not just increasing the take.",negative,-0.15,nyt
Have countries threatened with retaliatory tariffs under the new trade law entered into negotiations with the United States?,negative,-0.55,nyt
"S. Linn Williams, deputy U.S. Trade Representative, says: ''There are discussions.",neutral,0.0,nyt
We can call them negotiations.,positive,0.05,nyt
They can call them a banana as long as it produces results.'',positive,0.3,nyt
Banana?,negative,-0.05,nyt
It's an economic euphemism with precedent.,neutral,0.0,nyt
"During the Carter years, a nervous White House enjoined Administration officials not to mention the dreaded word ''depression,'' or even ''recession.''",negative,-1.25,nyt
"Alfred Kahn, the chairman of the Council on Wage and Price Stability, got the message.",positive,0.15,nyt
"The next time he wanted to warn of economic trouble, he talked about ''the worst banana you ever saw.''",negative,-1.2,nyt
Washington's semantic worries haven't changed much since then.,negative,-0.3,nyt
"For months the Federal Reserve Board has been keeping interest rates high, out of concern over rising inflation.",negative,-0.4,nyt
Now it appears to be acting instead out of concern over recession.,negative,-0.5,nyt
"Last week the Federal funds rate dropped a quarter-point, to 9 1/4 percent.",negative,-0.5,nyt
"The Fed's chairman, Alan Greenspan, will be asked about the future course of Fed policy when he testifies before Congress later this month.",positive,0.2,nyt
"Even under probing questioning he'll probably maintain a cryptic, statesmanlike position, something like: ''We have achieved our goal of moderating the economy.''",negative,-0.4,nyt
"In other words, banana.",positive,0.1,nyt
It may have started when Gloria Vanderbilt plastered her name across millions of back pockets.,negative,-0.1,nyt
"In time, Americans began accepting strangers' signatures not just on their jeans but their shoes, purses, cosmetics and furnishings.",positive,0.1,nyt
"Signed, labeled or otherwise trademarked, almost everything now seems to be a designer item.",negative,-0.25,nyt
Norma Kamali will design your couch.,positive,0.25,nyt
Ralph Lauren creates your carpets.,positive,0.1,nyt
"You can sleep slathered in cream by Elizabeth Arden, scented with perfume by Mikhail Baryshnikov, wear lingerie by Calvin Klein and nestle in sheets by Christian Dior.",positive,1.05,nyt
"Then you can get up, throw on your bathrobe by Bill Blass and clean your teeth with a designer toothbrush by Paul Smith.",positive,0.1,nyt
What fuels America's obsession with putting a stranger's name on even the most intimate possessions?,negative,-1.15,nyt
"Probably, sadly, it's a belief among many people that they lack chic.",negative,-1.1,nyt
"Designer labels, they assume, will at least certify they have the taste (and money) to buy chic.",positive,0.55,nyt
But flaunting a price tag disguised as a designer name is as tasteless as it is insecure.,negative,-2.15,nyt
"The right names to sew on our clothes are our own, and the right place is on the inside.",positive,0.15,nyt
Coming home to the sidewalks of New York used to be a real come-down for the person who'd just spent a week or so on the streets of Paris: there were no flowers.,negative,-0.95,nyt
"In Paris, street markets flaunted huge bouquets of mimosa in February, small bouquets of lily of the valley in May, and roses all the time.",positive,0.85,nyt
New York's handful of street markets featured grit-flecked daisies and bedraggled mountain laurel.,negative,-0.45,nyt
Then Korean grocers set up shop and brought acres of flowers with them.,positive,0.65,nyt
Suddenly anyone with two or three bucks to spare could have daffodils in the living room or carnations by the bed.,positive,1.0,nyt
"Next, the farmers in the city's Greenmarkets started harvesting asters and wildflowers and bittersweet along with tomatoes, corn and squash.",positive,0.25,nyt
"Now rose fever, which began in two boutiques on the Upper East Side, is spreading.",positive,0.45,nyt
The rose boutiques sell flowers direct from Central America for $6 to $13 a dozen.,positive,0.2,nyt
