text,study_label,split
"Monetary Policy: RBI Returns To A More Active Credit Policy To Boost Retail,  MSME Credit",neutral,train
MPC Decision: MPC Keeps Rates On Hold Amid ‘Highly Uncertain’ Inflation Outlook,neutral,train
N.Y. FED'S 42-DAY REPO OP. OVERSUBSCRIBED; $49.05B OF BIDS,neutral,train
New BoE governor makes plea to Brussels on City access https://t.co/5X7rXAAsHG,neutral,train
New developments added to @FedFRASER's COVID-19 timeline in the latest week: second historic rise in unemployment i… https://t.co/o4yYfNRbhA,neutral,train
"New staff study by Kenneth Garbade examines the efforts of the Federal Open Market Committee to first control, and… https://t.co/seVxzGnVOu",neutral,train
New York Fed opens registration for commercial paper funding facility https://t.co/K5ZI55Mei5 https://t.co/eUnLPyar0E,neutral,train
New York Fed to further reduce repo support https://t.co/weKgRz0LMd https://t.co/UR8cWv9xZN,neutral,train
New York Fed to start publishing SOFR averages in March https://t.co/O0sIXhkddG,neutral,train
"New Zealand’s central bank doesn’t expect its new bank capital rules to present a headwind for the economy, which l… https://t.co/YXwseGIYHw",neutral,train
Next BoE governor makes City access plea to Brussels https://t.co/3HVBMfL9Ze,neutral,train
Norway's central bank governor warns politicians against meddling too much with the country's massive sovereign wea… https://t.co/H7bqZcQjoi,neutral,train
Now available: Weekly data on the Assets and Liabilities of Commercial Banks in the United States: https://t.co/Q478LdiYLB #FedData,neutral,train
"NY Fed Offers First Year-End Repo, Adds $93.5 Bln in Cash Banks Seek Liquidity
https://t.co/twaYHd2PDZ
@mdbaccardax",neutral,train
Off the 'QT': Does Federal Reserve nominee Judy Shelton have a balance sheet problem? https://t.co/masWFSb9oB https://t.co/RyPS7DYCC3,neutral,train
"Once we have more clarity about the new coronavirus outbreak, expect interest rates to rise, says Quicken Loans CEO… https://t.co/OOv4bsPKpX",neutral,train
Orr May Signal Readiness to Cut Rates as Virus Hits New Zealand's Economy,neutral,train
Parkmead : Bank of Jamaica 14-Day Repo Auction Announcement -25 November 2019 #Parkmead #Stock #MarketScreener… https://t.co/cMHuPB7ZFM,neutral,train
"Patrick Harker, President of the Philly Fed, is due to speak now.",neutral,train
PBOC Tells Property Speculators That ‘Homes Are For Living In’,neutral,train
PBOC Will Resolve Risks Gradually as Downward Pressure on Chinese Economy Has Increased #economy #MarketScreener… https://t.co/wMzcC38OfV,neutral,train
Peter Conti-Brown On The CARES Act And The Expanding Fed-Treasury Relationship In Response To COVID-19.… https://t.co/5rEILyYuNC,neutral,train
"Powell's 'half-full' U.S. glass sturdy but still at risk for spills as Fed meets
https://t.co/HPxoBCxi3B https://t.co/NQqEENkR6e",neutral,train
President Trump meets with Fed Chairman Powell to discuss economy,neutral,train
Press release on the Monetary Council meeting of 7 April 2020 #economy #MarketScreener https://t.co/vSMuCNmMuE https://t.co/13ghOSot3X,neutral,train
Property Lenders Surge After India Central Bank Eases Cash Rules,neutral,train
QE Infinity: So It Begins. https://t.co/HppY8KK3fV #business #stocks #stockmarket,neutral,train
Rate futures surge as coronavirus seen pushing Fed to ease https://t.co/Fi8x6k42Ap https://t.co/MPjtg6wicr,neutral,train
Read the latest FOMC statement https://t.co/VCPbCo6m61,neutral,train
"Regional Fed leaders favored holding rates steady for now, but that any worsening of novel coronavirus could affect… https://t.co/tcZzqWkz52",neutral,train
Rise of the intangibles is pushing down on central bank rates - BoE's Haskel https://t.co/3gYMZ51yzI https://t.co/yFeH07V30c,neutral,train
Robert Kaplan Says Fed Should Hold Barring ‘Material’ Change in Outlook,neutral,train
"Russia Delivers Sixth Straight Rate Cut, Signals Further Easing",neutral,train
"Russian and Romanian Rate Decisions, Commodity Chaos: Eco Day",neutral,train
Saudi Arabian Monetary Agency : SAMA Licenses HalalaH and BayanPay Companies #SaudiArabianMonetaryAgency #economy… https://t.co/mCmqEEmaP0,neutral,train
SBI Cuts MCLR-Based Lending Rates By 5 Basis Points Across Tenors,neutral,train
Sizing Up the Fed's Historic Coronavirus Crisis Intervention #Samp;P500 #economy #MarketScreener… https://t.co/o4qzaZPUeG,neutral,train
South African Reserve Bank : Regulatory relief measures and guidance to the banking sector...… https://t.co/kXm8dScZTn,neutral,train
St. Louis Fed President Jim Bullard recommends declaring a  “National Pandemic Adjustment Period' and discusses thre… https://t.co/o942U7BKPI,neutral,train
"Stock market live updates: Former Federal Reserve Chair Janet Yellen said the economy is in the throes of an ""absol… https://t.co/2xqOHCLmEe",neutral,train
Stock Market Update: President Trump meets with Fed Chair Powell,neutral,train
"Sweden's Riksbank underscores its commitment to zero interest rates, despite cutting its inflation forecast https://t.co/cqDzr8JVZ9",neutral,train
"Swedish central bank set to keep rates steady on Feb. 12, and through 2021: Reuters Poll",neutral,train
Thailand's central bank faces a fresh battle to contain the baht's strength,neutral,train
The Bank of England is launching an extra weekly liquidity facility after banks' demand for cash soared at its regu… https://t.co/N8q2VXLg5u,neutral,train
"The Bank of Israel extends its pause in interest rates, surprising most economists https://t.co/8lydT0Ph6e",neutral,train
The ECB dived into the fight to save the economy with 34 billion euros of bond purchases last week https://t.co/JNSEDvs9lt,neutral,train
The ECB ramped up its government bond buying program even before it boosted quantitative easing by an extra $805 bi… https://t.co/bYKZM2CTjP,neutral,train
The ECB will accept junk-rated Greek government bonds as collateral as part of wide-ranging measures to ease lender… https://t.co/8Kx1J07gTl,neutral,train
"The ECB will probably decide to take better account of home costs in its inflation measure, but there's unlikely to… https://t.co/Kg9elTbD90",neutral,train
The Fed and the Treasury will start buying debt issued by banks that lend through the government's small businesses… https://t.co/ZE7SV2CCmR,neutral,train
The Fed and Treasury Department are planning to launch a program to buy loans that financial firms make through the… https://t.co/DUUAXs3yzq,neutral,train
"The Fed announced a massive second wave of initiatives to support the U.S. economy, many specifically targeting com… https://t.co/6wgz15jypX",neutral,train
"The Fed announced new programs to help markets, the NYSE begins trading remotely today, and Trump activated the Nat… https://t.co/6QWlnqOWDy",neutral,train
The Fed Faces a Housing Conundrum,neutral,train
The Fed is going all in to try and ramp up the economy. Will it be enough? Insights via @CMEGroup https://t.co/BpEqm1utJ9,neutral,train
The Fed is going all in to try and ramp up the economy. Will it be enough? Insights via @CMEGroup https://t.co/RxmrkDKQOa,neutral,train
The Fed is going to buy ETFs. What does it mean? https://t.co/t0Gh4NVwfQ,neutral,train
The Fed Is Now Buying Investment Grade Bond ETFs Like LQD  https://t.co/ZQC24DFN3L,neutral,train
"The Fed is on hold for now, but it might not take much to change that",neutral,train
The Fed may be about to get a lot more involved in the bond market (via @bopinion) https://t.co/WxC8AWRRaS,neutral,train
The Fed plans to lend directly to companies outside the banking system. Former Fed Governor Narayana Kocherlakota s… https://t.co/WIJjtKBYJD,neutral,train
The Fed Says 'Helicopter Money' Is Here. https://t.co/JRqmtSRtbf #stocks #business #stockmarket,neutral,train
The Fed sidesteps a bickering Congress with sweeping rescue plan https://t.co/SBxYPhDR2q,neutral,train
The Fed took the lid off QE. Here's how the central bank has been responding to the coronavirus crisis… https://t.co/z51VeD10Tb,neutral,train
The Fed will create a new facility to help speed support to small businesses through the government's coronavirus s… https://t.co/M22EUfsoP9,neutral,train
The Fed will launch a barrage of programs aimed at helping markets function more efficiently in the wake of the cor… https://t.co/kSh6hJKgyo,neutral,train
The Fed’s interventions are aimed at ensuring that the financial system has enough liquidity and that short-term bo… https://t.co/cwaCeyj97h,neutral,train
The Federal Reserve assured the nation that the Central Bank has an essentially limitless ability to provide liquid… https://t.co/43Z7zVmKtL,neutral,train
The Federal Reserve Bank of New York added liquidity to financial markets Thursday in what is effectively a short-t… https://t.co/XWjrSLEXbj,neutral,train
The Federal Reserve is signaling it will do whatever it takes to save the coronavirus-ravaged American economy from… https://t.co/EB9feds0vx,neutral,train
"The Federal Reserve is wading into the $3.9 trillion municipal-bond market. 

But the central bank still has more l… https://t.co/CVR76uG6LQ",neutral,train
The Federal Reserve on Monday announced a massive second wave of initiatives to support a shuttered U.S. economy https://t.co/24MqL6jTmM,neutral,train
The Federal Reserve on Monday once again stepped in to shore up the lending market as it rolled out an array of pro… https://t.co/9U9ndPky3a,neutral,train
The Federal Reserve on Monday rolled out an extraordinary array of programs to backstop an economy reeling from res… https://t.co/uCAEJ41Rzs,neutral,train
"The Federal Reserve took more extraordinary measures to keep the economy from seizing up, but it can't soften the b… https://t.co/SsvXAyhVr3",neutral,train
The Fed's Emergence as a Power Player Poses New Risks to Its Independence #economy #MarketScreener… https://t.co/hwe3xwwGma,neutral,train
"The IMF has three main roles: economic policy advice, lending, and capacity development. How did we serve our 189 m… https://t.co/XreOyj15Bu",neutral,train
The IMF is providing emergency financial assistance to member countries facing the economic impact of the #COVID19… https://t.co/Vu7rLIfpN7,neutral,train
The IMF may launch a new program that could back up the Fed's campaign to keep dollars flowing in the global economy https://t.co/wOOa8e7wX6,neutral,train
The IMF says that Uganda will spend as much as a fifth of government revenue on interest payments https://t.co/upwkLxCclO,neutral,train
"The man about to become Britain's top central banker says the U.K. should be free to change its own rules, ahead of… https://t.co/K7CYXMDfaf",neutral,train
"The New York Fed said it will shrink its repurchase agreement operations further, starting with Friday's overnight… https://t.co/eAhxhyAocY",neutral,train
"The NY Fed said it accepted $25 billion in bids, from a total of $49 billion placed at the central bank  https://t.co/qmdK6LGP1t",neutral,train
The quarterly handoff in Treasury shorts is riskier than normal https://t.co/BlFNMTJ4Pw,neutral,train
The Russian government tapped its sovereign wealth fund to purchase the central bank's 50% holding in the country's… https://t.co/XNbtGWFcog,neutral,train
"The St. Louis Fed is proud to assist @USTreasury in presenting Your Guide to America’s Finances, an annual snapshot… https://t.co/1VqagVX5ok",neutral,train
The stricken Bank of Jinzhou will unload $21 billion of assets to the central bank for less than a third of theirÃ‚Â r… https://t.co/xGuCP9lBlH,neutral,train
The target for the overnight interbank funding rate is decreased by 25 basis points #Stock #MarketScreener… https://t.co/pUpRxfyNco,neutral,train
"The U.S. should declare a 3-month break for nonessential businesses, says St. Louis Fed president https://t.co/vsE3wjGyHk",neutral,train
"The worst scramble for cash is happening in an opaque corner of the market, where the Fed has little control, write… https://t.co/1ZddVnhX3j",neutral,train
"Today, the IMF Executive Board approved a disbursement of €176.5 million to #NorthMacedonia. This financial suppor… https://t.co/hloz3ZRGNH",neutral,train
Traders are now trying to get ahead of the Fed's purchases https://t.co/UTF5phTB1V,neutral,train
Traders Maintain Amount of Fed Easing Seen in 2020 After Jobs,neutral,train
Trump doubles down on lower rates at Powell meeting,neutral,train
"Trump says he talked about interest rates, dollar strength with Powell",neutral,train
Tunisia eyes IMF talks in March on sixth review of loan deal -minister #economy #MarketScreener… https://t.co/9eio1gEMyk,neutral,train
Turkey is trying to stop emergency loans intended to boost its economy during the coronavirus slowdown from fueling… https://t.co/EcSwShpQGl,neutral,train
Two Regional Fed Chiefs Lay Out Aggressive Coronavirus Response -- Update #economy #MarketScreener… https://t.co/9OUm67AaSL,neutral,train
Two top BOE officials suggested that the UK financial system's rules may have to diverge from the EU's after Brexit https://t.co/85NEJl6fLm,neutral,train
"U.S. banks cram for Fed risk test, with ripple effects in repo #economy #MarketScreener https://t.co/Hvz8lXjRl0 https://t.co/Dg0f2nRHHP",neutral,train
"U.S. Fed buys $427 million of mortgage bonds, sells none https://t.co/ezA4AiwOlC https://t.co/z4h3yRWGTj",neutral,train
U.S. to Block Iran's Request to IMF for $5 Billion Loan to Fight Coronavirus -- Update #economy #MarketScreener… https://t.co/n3Crpty48r,neutral,train
"U.S. Treasury, Fed working on 'Main Street,' municipal loan facilities - Mnuchin #economy #MarketScreener… https://t.co/xlHUAdkJG9",neutral,train
UK banks' dollar demand rises to $3.555 billion: BoE repo operation https://t.co/D5YDDpaj13 https://t.co/licT21042C,neutral,train
UK watchdog gauging how virus affects plan to retire Libor https://t.co/B1wWDKFasL https://t.co/3ZDXFQvGtE,neutral,train
US Fed admits Libra has potential to ‘rapidly’ achieve mass adoption,neutral,train
US Treasury To Ask For $200 Billion More In Small Business Loans https://t.co/MpQKXdG9Xt,neutral,train
Vital conversations happen all around the Eighth Federal Reserve District. One of the ways we listen is through our… https://t.co/tsLMen6MSn,neutral,train
Watch Fed Chairman Jerome Powell's news conference live https://t.co/AbOHHqlbeA,neutral,train
Watch Live: Fed Chair Powell Avoid Admitting QE4 Has Begun & Repocalypse Is Imminent https://t.co/BlKwurqscz,neutral,train
WATCH: Fed Chair Powell holds a press conference following the FOMC's unanimous decision to leave interest rates un… https://t.co/od2QG12LGo,neutral,train
"'We know that there will be very likely some effects on the United States', said the Fed chairman Jay Powell about… https://t.co/eAeVR5GUm2",neutral,train
Well laid plans at the Federal Reserve keep getting blown off course by the trade war (via @RichMiller28 &… https://t.co/ESn0p1N19h,neutral,train
What the Fed meeting minutes could say about interest rates that Powell didn't say,neutral,train
What to look for when Fed Chair Powell meets with Congress this week,neutral,train
Will the Fed provide any stimulus to the U.S. economy? Look to the equities market for clues. Insights via @CMEGroup https://t.co/zk1s08F1zW,neutral,train
"With coronavirus ravaging the US economy, the Federal Reserve may have to get creative. CNN Business'… https://t.co/wqKtHN3mVC",neutral,train
"With latest moves, Fed becomes creditor in chief for U.S. business #economy #MarketScreener https://t.co/LjIQ3iMwmv https://t.co/CY4JHRFSxb",neutral,train
World Bank could deploy $150 billion over 15 months in coronavirus battle - Malpass #economy #MarketScreener… https://t.co/lU5FmuUBUa,neutral,train
World Bank Suggests Creating ‘Brand Northeast’,neutral,train
"Yellen says the Fed doesn't need to buy equities now, but Congress should reconsider allowing it https://t.co/ms6Y9qvmUK",neutral,train
Zimbabwe Central Bank Reverses Policy and Halves Key Rate to 35%,neutral,train
"""I’ve owned the Apple Card for 3 months…this is why it sucks."" https://t.co/ngzSpdvFPK",negative,train
"""That's Not Safe! Somebody's Going To Die!"": Senator Markey Slams Tesla Autopilot At Commerce Committee Hearing https://t.co/PHvFLxKnQu",negative,train
"""We Totally Failed As A Business"": Unicorn Scooter Impales Investors After Company Goes Hooves-Up https://t.co/otp1fQAFgj",negative,train
"$300,000 Pilot Jobs Drying Up in China After Boeing Grounding",negative,train
$AAL - American halts flights to Mainland China https://t.co/zQIKTbqqUk,negative,train
$AMGN - Partial response in Amgen brain cancer study https://t.co/6sAXBkTCST,negative,train
$AXAS - Abraxas Petroleum: Poor Liquidity Points To A Chapter 11 May Be On The Horizon. https://t.co/bdKkXTKDOL… https://t.co/PG849ZPziP,negative,train
$AXAS - Abraxas Petroleum: Poor Liquidity Points To A Chapter 11 May Be On The Horizon. https://t.co/bdKkXTKDOLâ€¦ https://t.co/PG849ZPziP,negative,train
$BA - 737 MAX crisis claims job of Boeing's top communications official https://t.co/FwntvthN9F,negative,train
$CAT - Caterpillar sees more weak demand ahead as firms defer capital decisions https://t.co/CzAxE8TDL1,negative,train
$CBAY: CymaBay Therapeutics halts clinical development of Seladelpar based on initial histological findings observe… https://t.co/v8K1pQPrsK,negative,train
$CORV - FDA advisory committee thumbs down on Correvio's Brinavess for AF https://t.co/vLfvDUDw9v,negative,train
$CTSO: CytoSorbents says temporarily pausing enrollment of REFRESH 2-AKI study at the recommendation of its Data... https://t.co/6ibg4NhPh1,negative,train
$LJPC - La Jolla Pharma to reassess development of LJPC-401 https://t.co/sJITlHYGuz,negative,train
$LK - Citron and Muddy Waters at odds over Luckin Coffeee https://t.co/gkLLQ0bBQA,negative,train
$UBER - Uber CEO comments on London license loss https://t.co/ppLtG1r4lP,negative,train
$UN $UL - Unilever U.S. recalls some chicken products https://t.co/jLN7s2LAd7,negative,train
"“Vaping is taking us backward,” CVS Health CEO Larry Merlo says. “Something has to be done.” https://t.co/CwxbCtXvWW https://t.co/NBv10IejXx",negative,train
2020 Will Be Another Year of Pain for Tanger,negative,train
"After Growing 16% In 2 Years, Why Did Lowe’s Number Of Stores Decrease?",negative,train
Airbus : Boeing deliveries halved in first eleven months of 2019 #Airbus #Stock #MarketScreener… https://t.co/5Ux2IqpCAP,negative,train
Apple closing all China stores and offices,negative,train
"Apple saw China iPhone units fall in November, Credit Suisse says",negative,train
"As a reminder, JPMorgan remains the riskiest bank with the highest GSIB score of any bank and a 4.0% surcharge. https://t.co/8jTxnywzqM",negative,train
"As Liquidation Threat Looms, Jet Airways Bidders Still Not Ready",negative,train
Axonics launches $110M equity offering; shares down 3% after hours,negative,train
BlackRock admonishes Siemens for environmental actions,negative,train
Boeing deliveries halved in first eleven months of 2019 https://t.co/aNHnf3f89F https://t.co/LHeC37Q814,negative,train
Boeing Forced to Halt 737 MAX Production,negative,train
Boeing to suspend 737 Max production in January,negative,train
"Boeing, suppliers slip as Wall Street counts MAX halt costs",negative,train
"Boeing's halt to 737 MAX production could ding U.S. economy, jobs",negative,train
Breaking - United $UAL suspends flights to China as coronavirus outbreak continues,negative,train
Bristol-Myers' Opdivo + Yervoy disappoints in melanoma study,negative,train
Bumble Bee files for bankruptcy after $25 million fine for tuna price fixing https://t.co/nLaDnUUmKh,negative,train
"Bumble Bee Foods filed for bankruptcy, blaming its ""recent and significant legal challenges."" https://t.co/kFYH8KrLKA",negative,train
Burberry says coronavirus hurting luxury demand,negative,train
Burberry Says Viral Epidemic Devastates China Sales,negative,train
BW Group trims its stake in DHT Holdings,negative,train
California department to reject Sezzle's application for lending license in state,negative,train
Canadian National Laying Off Workers,negative,train
Carmakers close Chinese factories because of coronavirus,negative,train
China’s Coronavirus Set To Dampen Economic Growth In The United States,negative,train
Coronavirus reports hang over cruise line sector,negative,train
CORRECT: Tapestry estimates 2020 negative impact of $200 mln-$250 mln from coronavirus outbreak in China,negative,train
"CORRECTED-Nissan recalls nearly 400,000 vehicles over braking system defect (Nov. 16)",negative,train
Credit Suisse's Top Investor Wants Chairman to Follow CEO Out,negative,train
Delta and American airlines halt flights to China in response to coronavirus https://t.co/XtxOndVRIg,negative,train
"Delta has decided to temporarily suspend all flights from the US to China from February 6 through April 30, due to... https://t.co/vJLfdbPhvV",negative,train
Disney+ faces backlash over 'The Simpsons' aspect ratio,negative,train
DNA testing company Veritas Genetics is suspending American operations and cutting all U.S. staff after a financing… https://t.co/LZZNsdU41T,negative,train
Efforts to save South African Airways by placing it into bankruptcy protection hit a snag https://t.co/ptXgcTsac7,negative,train
Electrolux to incur $70 million charge for U.S. overhaul,negative,train
Expedia's Problems Run Deeper Than SEO Headwinds,negative,train
Facebook under fire as political ads vanish from archive: FT https://t.co/4gXYZZSiWR https://t.co/NIfMVvmsj3,negative,train
Factbox: Automakers close factories in China due to virus outbreak,negative,train
Finnair cancels 276 flights as unions join solidarity strike #FinnairOyj #Stock #MarketScreener… https://t.co/j4PMDAs2cI,negative,train
"Ford Recalls More Than 500,000 Pickups for Fire Risk",negative,train
Ford risks Mustang fan backlash with SUV: They'll need to pry gas-powered Mustangs from 'my cold dead fingers',negative,train
Frozen Wells Fargo Bonuses Show a Peril for Bankers After Crisis,negative,train
"FTC's Look Into Facebook A 'Negative Development,' Says RBC's Mahaney",negative,train
Gilead's Second CAR-T Treatment Suffers the Same Issues as Yescarta,negative,train
Goldman partner embroiled in 1MDB scandal exits bank - FT https://t.co/uiXjEqyc6e https://t.co/cV1UlIMIB4,negative,train
"Gulfport Energy to stop share buybacks, cut jobs; Houston to leave board",negative,train
Harvest Health becomes latest cannabis company to scale back a previously-agreed deal,negative,train
"Hexo's Q1 Report Could Be Ugly, Says Cantor Fitzgerald",negative,train
Honda may keep Wuhan plants closed longer due to outbreak: Nikkei,negative,train
"Hong Kong Airlines to cut 400 jobs, ask employees to take unpaid leave: SCMP",negative,train
"Hong Kong Airlines to cut 400 jobs, operations as coronavirus hits travel",negative,train
"Hyundai Motor, Kia Motors to keep Chinese factories idled until February 16",negative,train
IFA Irish Farmers Association : HAND IN LETTERS OF PROTEST TO MEAT INDUSTRY IRELAND AND MI... #IFA #economy… https://t.co/xxnZ8OgPnG,negative,train
"In a sharply worded letter, HP told Xerox it has “significant concerns about both the near-term health and long-ter… https://t.co/xYlMfujdGg",negative,train
"ING's Fourth-Quarter Results Were Quite Challenging, Says CFO",negative,train
J.C. Penney Again at Risk Of NYSE Delisting,negative,train
Jaguar Land Rover to cut output at two UK factories,negative,train
La Jolla Pharma to reassess development of LJPC-401,negative,train
La Jolla Pharmaceutical to reassess continued development of LJPC-401 based on clinical results,negative,train
Lifeblood of Amazon merchants threatened as coronavirus infects Chinese workers,negative,train
Loonie dips as Bank of Canada official points out uncertainties,negative,train
L'Oreal CEO says coronavirus will hamper sales in coming weeks,negative,train
L'Oreal Expects Short-Term Virus Hit,negative,train
Lowe's says it will shut 34 stores in Canada,negative,train
Luckin Coffee and Yum China hit again by coronavirus anxiety,negative,train
"Macy's says weather, soft tourism and weak performance at lower-tier malls weighed in Q3",negative,train
"Mitsubishi postpones SpaceJet delivery again, books $4.5 billion special loss",negative,train
"Nike to record $425 mln charge as it transitions brand business in Brazil, Argentina, Chile, Uruguay to distributor partnerships",negative,train
Nike Warns Coronavirus Is Presuring Sales in China,negative,train
Nintendo Switch Shipments to Japan Delayed by Coronavirus,negative,train
Nissan orders deep spending cuts - Reuters,negative,train
Novartis to cut 150 jobs at Shanghai site in shift to commercial development,negative,train
NTSB calls on Boeing to redesign thousands of 737s,negative,train
NTSB chair criticizes Uber's safety culture,negative,train
Nutrien : to Shut Down Rocanville Mine for Two Weeks Due to CN Strike #Nutrien #Stock #MarketScreener… https://t.co/7RnmPSYg3X,negative,train
Oracle’s Need for ‘Steep’ Sales Climb Leaves Street Cautious,negative,train
"Participation Of BSNL, MTNL In Spectrum Auction May Lead To Conflict Of Interest: Department Of Telecom ",negative,train
Peter Thiel Divides Facebook Internally Over Ad Policy (Radio),negative,train
PG&E loses half of financial backing for bankruptcy plan,negative,train
Pizza Hut's Struggling Turnaround Weighs on Yum Brands Results,negative,train
Protest forces AngloGold to suspend Guinea gold production,negative,train
Qualcomm Projects Uneven Sales Growth on Pickup of 5G,negative,train
Royal Mail Labor Trouble Throws Long-Term Targets Into Jeopardy,negative,train
Royal Mail Labor Troubles Put Long-Term Targets in Jeopardy,negative,train
Russia's Rusal faces tough market for aluminium even after sanctions dropped,negative,train
"S. African Airways Cuts Foreign, Local Routes to Stay Afloat",negative,train
Saputo Canadian Closures Show How Much Dairy Industry Is Hurting,negative,train
Sell-siders on board with Bristol-Myers Squibb's Q4 & outlook,negative,train
SoftBank Group Corp.’s massive investment in WeWork triggered a multi-billion-dollar writedown and a rare apology f… https://t.co/PogaY0B09Z,negative,train
"Some gamers accessing Google's new cloud gaming platform, Stadia, through a Chromecast Ultra dongle are reporting trouble… https://t.co/t6dCbMr0C3",negative,train
Sparkle fades as coronavirus risks wiping out luxury goods growth,negative,train
"Steel Giant to Axe 3,000 Jobs as Crisis Rips Through Europe",negative,train
Swiss investor adviser Ethos calls for Credit Suisse overhaul after spying,negative,train
Tesla Cybertruck debut drew ridicule online after the newly-unveiled model’s armored glass windows cracked like spi… https://t.co/3h9ch5lK1r,negative,train
Tesla Zealotry on Street Fades as Focus Shifts to Fundamentals,negative,train
Tesla's Return to Profitability Is Not Sustainable,negative,train
"Teva, Bausch Could Be Next to File for Bankruptcy",negative,train
"The reveal of the Tesla $TSLA #Cybertruck didn't go quite as expected... but moving on, there's a few specs you sho… https://t.co/wYnwjcjnEF",negative,train
"The Supreme Cannabis Company, Inc. Consensus Forecasts Have Become A Little Darker Since Its Latest Report",negative,train
Thiel driving FB division on political ads - WSJ,negative,train
"Three of the largest US airlines -- Delta, American and United -- have canceled more flights between the United Sta... https://t.co/fY9qG2bXpa",negative,train
TikTok looks to diversify users as U.S. pressure mounts,negative,train
"Toyota keeps China plant output stopped through February 16 as virus hits supply, logistics",negative,train
"Toyota, Honda Extend China Shutdowns as Virus Gathers Pace",negative,train
Trading on the News Adds a Risk Premium to Shares of American Micro Devices,negative,train
Trans Mountain expansion costs soars to C$12.6B - report,negative,train
TSB to axe at least 15% of branches in cost-cutting drive https://t.co/8c17g12zuC,negative,train
"TSB to close 82 branches, slash costs in strategy overhaul https://t.co/RWpUxn2xTH https://t.co/TUTUh0Au4G",negative,train
"TSB to cut 82 branches in strategy overhaul, up to 400 may go https://t.co/D9inDP0OOQ https://t.co/w2h4hTfFyz",negative,train
"Tullow to Cut 40% Jobs in Kenya, Focus on Investment Decision",negative,train
Uber co-founder Travis Kalanick has sold $1.5 billion worth of the company's stock this month https://t.co/ZLtMcVtFcp,negative,train
Uber co-founder Travis Kalanick sold $1.5 billion of the company's stock this month https://t.co/L5f47o9NnD,negative,train
Uber Loses License In London,negative,train
Uber Loses London License (Again) ,negative,train
Uber may be about to lose the right to operate in London https://t.co/PWXX1xSAOj,negative,train
"UBER SAYS AWARE OF APP NOT LOADING, WORKING TO RESOLVE IT",negative,train
Uber's license will not be renewed in London over safety concerns https://t.co/n6NCmvWaGt,negative,train
'Unfit' Uber loses London license over safety failures,negative,train
'Unfit' Uber stripped of London license #economy #MarketScreener https://t.co/wgqFijpV50 https://t.co/clmEwq2cJK,negative,train
Unilever : Recalls Some Lipton and Knorr Products Due to a Poultry Supplier's Recall #Unilever #Stock… https://t.co/FxpwjQYkXh,negative,train
United joins Delta and American in suspending flights between the U.S. and mainland China. United's flight suspensi... https://t.co/5ZtcJXzf7O,negative,train
UPDATE 1-Bristol-Myers misses main goal of late-stage skin cancer trial,negative,train
UPDATE 1-CymaBay Therapeutics scraps liver disease studies; shares plunge,negative,train
UPDATE 1-FDA declines to approve Adamis Pharma's Zimhi to treat opioid overdose,negative,train
Vans parent VF Corp. says 60% of China owned and partnered stores are closed over coronavirus,negative,train
"Vans parent VF Corp. says 60% of China stores are closed over coronavirus, to update guidance in May",negative,train
Vietnam's budget carrier VietJet Aviation JSC will suspend all of its fights to China February 1 amid the novel cor... https://t.co/nWRl3RDuIy,negative,train
Walmart Inc.’s Jet subsidiary is ending its fresh-food delivery business just a year after introducing the service… https://t.co/MpzLxKX3cW,negative,train
Walmart Pulls The Plug On Jet.com 'City Grocery Experience',negative,train
Walmart's Jet is ending its fresh-food delivery business just a year after introducing the service in New York City https://t.co/Y8sI7u2mmB,negative,train
"WATCH: Cosmetics maker Coty, faced with weak sales, is expected to start an auction process in December and consume… https://t.co/qSW2swob2C",negative,train
WeWork Layoffs: 10 Things to Know About the Upcoming Job Cuts,negative,train
WeWork set to lay off thousands - NYT,negative,train
WeWork’s Path to Survival Is Narrow and Perilous,negative,train
What went wrong at Tesla's Cybertruck launch? Hear from Bloomberg's Ed Ludlow @EdLudlow who was there https://t.co/chEHrylNx7,negative,train
"Why I'm Cutting Netflix -- and Millions of Americans Might, Too",negative,train
Why London Has Banned Uber — Again,negative,train
$PBR - Petrobras expects lower April production; makes oil discovery https://t.co/kSkaXkxlze,negative,train
$PSX $VLO $HFC - Phillips 66 cuts rates at Bayway refinery on weak cracks - S&P Global https://t.co/0sOtRQG5t5,negative,train
$XOM - Exxon's Baton Rouge refinery cuts production on low demand - Reuters https://t.co/xRIss6avLy,negative,train
Exxon is cutting billions of dollars in investments to keep its financial footing during the worst oil-price rout i… https://t.co/QoPqAc2J9a,negative,train
"WATCH: Exxon Mobil, the largest U.S. oil producer, said it will cut planned capital spending by 30% this year https://t.co/pewe0L13xG",negative,train
"Freddie Mac Prices $731 Million Multifamily K-Deal, K-F74  https://t.co/c31iovNuJy",negative,train
$AAPL - Apple forecasts 100M+ 5G iPhone sales - report https://t.co/QhkaVvX1fZ,positive,train
$AQST FDA approves Aquestive's ALS treatment https://t.co/7g7ZbrkoqF via @YahooFinance,positive,train
$AQST: Aquestive Therapeutics confirms FDA approval for Exservan Oral Film for the treatment of amyotrophic lateral… https://t.co/PIRPvqJ4s7,positive,train
$BA $EADSY $EADSF - Boeing reports 30 orders of 737 MAX in November https://t.co/zOOFn8b2ip,positive,train
$CNK - Cinemark Holdings (CNK) Presents At Southwest Ideas Investor Conference - Slideshow. Get more updates here:… https://t.co/vdvcgOsGLP,positive,train
